Frame Count,Frame ID,Time(in milliseconds),E1_Dv1_(x,y),E1_Dv2_(x,y),E2_Dv1_(x,y),E2_Dv2_(x,y),E3_Dv1_(x,y),E3_Dv2_(x,y),D1,D2,D3
40,120.0,4038.7666666666664, 859,541, 846,639, 578,532, 595,629, 331,560, 332,652, 
41,123.0,4138.733333333334, 850,544, 855,634, 572,530, 575,638, 318,562, 323,654, 
42,126.0,4238.700000000001, 858,539, 859,639, 586,528, 579,632, 321,557, 326,653, 
43,129.0,4338.655555555555, 863,540, 864,638, 602,527, 581,633, 304,558, 290,651, 
44,132.0,4438.622222222222, 876,539, 873,646, 598,524, 590,630, 315,556, 337,649, 
45,135.0,4538.5777777777785, 878,544, 867,642, 589,525, 588,629, 324,551, 331,646, 
46,138.0,4638.544444444445, 869,540, 856,638, 596,521, 590,622, 307,557, 346,643, 
47,141.0,4738.511111111111, 843,535, 853,636, 585,521, 590,621, 318,552, 344,646, 
48,144.0,4838.488888888889, 855,539, 857,638, 590,516, 594,618, 315,553, 345,639, 
49,147.0,4938.433333333333, 853,538, 855,639, 596,516, 599,619, 319,548, 347,643, 
50,150.0,5038.388888888889, 857,535, 852,638, 579,514, 598,617, 322,543, 338,643, 
51,153.0,5138.355555555556, 854,533, 857,639, 582,513, 593,622, 326,543, 355,641, 
52,156.0,5238.311111111111, 869,532, 842,643, 589,514, 593,618, 336,540, 353,630, 
53,159.0,5338.277777777778, 856,537, 848,644, 594,513, 587,617, 331,541, 356,632, 
54,162.0,5438.255555555556, 859,534, 856,640, 578,511, 580,615, 344,531, 357,627, 
55,165.0,5538.200000000001, 855,534, 847,637, 597,507, 600,615, 336,536, 348,640, 
56,168.0,5638.166666666667, 862,532, 848,642, 605,508, 598,615, 341,531, 353,631, 
57,171.0,5738.144444444445, 865,535, 849,639, 598,506, 601,614, 357,527, 374,621, 
58,174.0,5838.099999999999, 867,530, 853,636, 624,506, 608,613, 357,524, 366,624, 
59,177.0,5938.055555555556, 862,530, 855,641, 611,504, 595,614, 363,526, 370,621, 
60,180.0,6038.022222222223, 864,530, 861,643, 615,504, 606,613, 369,521, 381,620, 
61,183.0,6137.977777777778, 861,533, 858,643, 628,504, 619,620, 372,521, 375,620, 
62,186.0,6237.955555555555, 890,645, 898,540, 631,504, 628,620, 383,523, 401,623, 
63,189.0,6337.922222222222, 904,540, 892,648, 617,501, 626,621, 396,520, 410,620, 
64,192.0,6437.922222222222, 937,548, 928,644, 661,504, 657,608, 402,523, 407,621, 
65,195.0,6537.833333333333, 934,547, 937,642, 662,505, 651,610, 408,521, 406,623, 
66,198.0,6637.788888888889, 930,544, 940,645, 658,506, 654,609, 397,519, 415,622, 
67,201.0,6737.755555555556, 939,543, 944,643, 666,506, 660,608, 398,522, 401,625, 
68,204.0,6837.722222222223, 935,547, 934,646, 661,502, 655,608, 410,520, 409,622, 
69,207.0,6937.677777777778, 937,545, 928,650, 656,502, 654,610, 400,519, 403,624, 
70,210.0,7037.644444444445, 935,548, 933,649, 652,505, 644,609, 409,520, 409,622, 
71,213.0,7137.666666666667, 939,547, 933,647, 658,502, 658,608, 397,518, 405,623, 
72,216.0,7237.5777777777785, 929,547, 937,644, 661,501, 660,608, 408,518, 408,622, 
73,219.0,7337.533333333334, 933,547, 929,646, 660,501, 655,606, 406,518, 408,623, 
74,222.0,7437.488888888889, 940,546, 942,646, 662,500, 658,609, 410,519, 410,622, 
75,225.0,7537.455555555556, 933,548, 934,642, 669,501, 656,609, 404,517, 406,616, 
76,228.0,7637.422222222222, 933,546, 950,646, 660,503, 653,609, 404,519, 404,619, 
77,231.0,7737.377777777779, 930,542, 937,645, 669,502, 674,604, 414,520, 418,620, 
78,234.0,7837.333333333334, 937,544, 943,646, 664,500, 678,605, 418,518, 419,619, 
79,237.0,7937.322222222223, 938,544, 942,643, 670,499, 676,602, 413,517, 410,622, 
80,240.0,8037.322222222222, 942,547, 948,648, 678,500, 677,604, 424,518, 420,617, 
81,243.0,8137.2333333333345, 943,545, 944,646, 674,501, 679,603, 
82,246.0,8237.18888888889, 413,514, 418,619, 
83,249.0,8337.144444444444, 939,546, 939,648, 671,500, 667,609, 419,517, 414,619, 
84,252.0,8437.111111111111, 943,545, 940,649, 671,499, 673,608, 410,514, 420,620, 
85,255.0,8537.122222222222, 939,545, 947,645, 667,500, 669,608, 421,516, 427,617, 
86,258.0,8637.044444444446, 938,545, 947,641, 678,498, 682,602, 415,514, 424,619, 
87,261.0,8737.0, 939,548, 948,649, 663,500, 674,606, 416,515, 427,614, 
88,264.0,8836.966666666667, 947,547, 945,645, 673,503, 679,595, 424,518, 414,618, 
89,267.0,8936.933333333334, 935,545, 944,649, 672,498, 669,607, 425,518, 421,620, 
90,270.0,9036.888888888889, 943,544, 948,650, 667,501, 676,602, 421,514, 433,613, 
91,273.0,9136.855555555556, 950,544, 955,649, 679,500, 676,607, 418,515, 426,619, 
92,276.0,9236.81111111111, 950,546, 953,646, 670,499, 681,605, 420,514, 424,620, 
93,279.0,9336.78888888889, 949,545, 954,647, 677,501, 682,603, 419,513, 424,619, 
94,282.0,9436.733333333335, 944,549, 952,649, 676,500, 684,603, 427,515, 430,616, 
95,285.0,9536.68888888889, 955,546, 957,647, 677,500, 691,599, 427,516, 430,618, 
96,288.0,9636.655555555557, 950,547, 958,647, 670,501, 676,606, 416,517, 423,622, 
97,291.0,9736.622222222224, 948,548, 953,652, 678,499, 678,607, 423,520, 429,618, 
98,294.0,9836.58888888889, 945,544, 945,651, 678,502, 689,605, 422,514, 428,621, 
99,297.0,9936.544444444446, 942,550, 946,650, 680,501, 683,603, 421,515, 417,620, 
100,1257.0,0.0, 919,647, 923,559, 635,608, 648,528, 375,619, 359,529, 
101,1260.0,0.0, 
